File,aid,Date,(1) Evergreen Needleleaf Forests,(2) Evergreen Broadleaf Forests,(4) Deciduous Broadleaf Forests,(5) Mixed Forests,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2018001_aid0001,aid0001,2018-01-01,,,,,101.0,1.0,2.0,,,,3.0,,
LC_Type1_2018001_aid0002,aid0002,2018-01-01,,1.0,,,80.0,2.0,33.0,,,,,,
LC_Type1_2018001_aid0003,aid0003,2018-01-01,,1.0,,,45.0,,,,,,,,
LC_Type1_2018001_aid0004,aid0004,2018-01-01,,,,,92.0,,,,,,,,
LC_Type1_2018001_aid0005,aid0005,2018-01-01,,,,,,,,,,12.0,,,
LC_Type1_2018001_aid0006,aid0006,2018-01-01,,7.0,,,45.0,,7.0,,,,4.0,,
LC_Type1_2018001_aid0007,aid0007,2018-01-01,,,,,190.0,11.0,,,,,4.0,,
LC_Type1_2018001_aid0008,aid0008,2018-01-01,,5.0,,,181.0,,1.0,,,,,,
LC_Type1_2018001_aid0009,aid0009,2018-01-01,,,,,141.0,2.0,4.0,,,,20.0,,
LC_Type1_2018001_aid0010,aid0010,2018-01-01,,,,,,,,,,5.0,,,
LC_Type1_2018001_aid0011,aid0011,2018-01-01,,,,,26.0,1.0,3.0,,3.0,,,,
LC_Type1_2018001_aid0012,aid0012,2018-01-01,,,,,6.0,6.0,1.0,,,6.0,2.0,,
LC_Type1_2018001_aid0013,aid0013,2018-01-01,,,,,,2.0,7.0,3.0,2.0,56.0,,,2.0
LC_Type1_2018001_aid0014,aid0014,2018-01-01,,90.0,,,114.0,3.0,,,,,1.0,,
LC_Type1_2018001_aid0015,aid0015,2018-01-01,,1.0,,,33.0,,4.0,2.0,,,,,1.0
LC_Type1_2018001_aid0016,aid0016,2018-01-01,,20.0,,,91.0,9.0,6.0,,,,1.0,,
LC_Type1_2018001_aid0017,aid0017,2018-01-01,,6.0,,,26.0,3.0,8.0,,,,3.0,,
LC_Type1_2018001_aid0018,aid0018,2018-01-01,,5.0,,,45.0,1.0,8.0,,,,,,
LC_Type1_2018001_aid0019,aid0019,2018-01-01,,,,,45.0,,,,,,,,
LC_Type1_2018001_aid0020,aid0020,2018-01-01,,4.0,,,79.0,2.0,,,,,2.0,,
LC_Type1_2018001_aid0021,aid0021,2018-01-01,,17.0,,,286.0,2.0,10.0,,3.0,,377.0,,
LC_Type1_2018001_aid0022,aid0022,2018-01-01,,1.0,,,108.0,1.0,6.0,,5.0,,179.0,,
LC_Type1_2018001_aid0023,aid0023,2018-01-01,,,,,38.0,2.0,4.0,,,,11.0,,
LC_Type1_2018001_aid0024,aid0024,2018-01-01,,2.0,,,43.0,5.0,4.0,,,,61.0,,
LC_Type1_2018001_aid0025,aid0025,2018-01-01,,,,,12.0,3.0,9.0,4.0,,,,,3.0
LC_Type1_2018001_aid0026,aid0026,2018-01-01,,,,,,10.0,,3.0,,4.0,1.0,,
LC_Type1_2018001_aid0027,aid0027,2018-01-01,,86.0,,,28.0,4.0,1.0,,,,14.0,,
LC_Type1_2018001_aid0028,aid0028,2018-01-01,,11.0,,,145.0,5.0,2.0,,5.0,,1136.0,,
LC_Type1_2018001_aid0029,aid0029,2018-01-01,,8.0,,,18.0,6.0,,,,,,,
LC_Type1_2018001_aid0030,aid0030,2018-01-01,,3.0,,,23.0,3.0,1.0,8.0,,,,,8.0
LC_Type1_2018001_aid0031,aid0031,2018-01-01,,3.0,,,16.0,4.0,,3.0,,,,,1.0
LC_Type1_2018001_aid0032,aid0032,2018-01-01,,5.0,,,58.0,6.0,3.0,,,,55.0,,
LC_Type1_2018001_aid0033,aid0033,2018-01-01,,4.0,,,9.0,1.0,,,,,177.0,,
LC_Type1_2018001_aid0034,aid0034,2018-01-01,,1.0,,,15.0,3.0,3.0,,,,42.0,,
LC_Type1_2018001_aid0035,aid0035,2018-01-01,,1.0,,,34.0,11.0,11.0,10.0,,,,,
LC_Type1_2018001_aid0036,aid0036,2018-01-01,,,,,69.0,22.0,3.0,,,,96.0,,
LC_Type1_2018001_aid0037,aid0037,2018-01-01,,17.0,,,82.0,28.0,9.0,8.0,,,31.0,,7.0
LC_Type1_2018001_aid0038,aid0038,2018-01-01,,265.0,,,234.0,78.0,3.0,,,,6.0,,
LC_Type1_2018001_aid0039,aid0039,2018-01-01,,3.0,,,26.0,2.0,,,,,21.0,,
LC_Type1_2018001_aid0040,aid0040,2018-01-01,,6.0,,,33.0,2.0,,4.0,,,,,1.0
LC_Type1_2018001_aid0041,aid0041,2018-01-01,,108.0,,,106.0,25.0,2.0,,1.0,,35.0,,
LC_Type1_2018001_aid0042,aid0042,2018-01-01,,7.0,,,50.0,2.0,4.0,,,,,,
LC_Type1_2018001_aid0043,aid0043,2018-01-01,,1.0,,,,,2.0,,23.0,,,,
LC_Type1_2018001_aid0044,aid0044,2018-01-01,,1.0,,,7.0,1.0,7.0,,16.0,,4.0,,
LC_Type1_2018001_aid0045,aid0045,2018-01-01,,,,,3.0,,10.0,,17.0,,2.0,,
LC_Type1_2018001_aid0046,aid0046,2018-01-01,,1.0,,,2.0,2.0,6.0,,12.0,,4.0,,
LC_Type1_2018001_aid0047,aid0047,2018-01-01,,,,,6.0,,5.0,,22.0,,1.0,,
LC_Type1_2018001_aid0048,aid0048,2018-01-01,,2.0,,,21.0,2.0,9.0,,10.0,,3.0,,
LC_Type1_2018001_aid0049,aid0049,2018-01-01,,,,,3.0,4.0,,6.0,,,2.0,,9.0
LC_Type1_2018001_aid0050,aid0050,2018-01-01,,,,,1.0,4.0,,4.0,,,1.0,,3.0
LC_Type1_2018001_aid0051,aid0051,2018-01-01,,,,,25.0,1.0,,,,,,,
LC_Type1_2018001_aid0052,aid0052,2018-01-01,,2.0,,,51.0,5.0,2.0,2.0,,,1.0,,2.0
LC_Type1_2018001_aid0053,aid0053,2018-01-01,,2.0,,,24.0,16.0,4.0,4.0,,,,,3.0
LC_Type1_2018001_aid0054,aid0054,2018-01-01,,,,,10.0,2.0,,,,,1.0,,
LC_Type1_2018001_aid0055,aid0055,2018-01-01,,1.0,,,115.0,12.0,9.0,,2.0,5.0,45.0,,1.0
LC_Type1_2018001_aid0056,aid0056,2018-01-01,,,,,66.0,,2.0,,25.0,,245.0,,
LC_Type1_2018001_aid0057,aid0057,2018-01-01,,2.0,,,192.0,1.0,1.0,,,,128.0,,
LC_Type1_2018001_aid0058,aid0058,2018-01-01,,1.0,,,43.0,2.0,4.0,4.0,,,1.0,,1.0
LC_Type1_2018001_aid0059,aid0059,2018-01-01,,,,,32.0,,,,,,,,
LC_Type1_2018001_aid0060,aid0060,2018-01-01,,1.0,,,23.0,13.0,2.0,3.0,,,,,1.0
LC_Type1_2018001_aid0061,aid0061,2018-01-01,,,,,175.0,1.0,2.0,,1.0,,123.0,,
LC_Type1_2018001_aid0062,aid0062,2018-01-01,,14.0,,,11.0,1.0,3.0,9.0,,,,,6.0
LC_Type1_2018001_aid0063,aid0063,2018-01-01,,301.0,,,50.0,,,,,,,,
LC_Type1_2018001_aid0064,aid0064,2018-01-01,,53.0,,,25.0,,2.0,3.0,,,,,
LC_Type1_2018001_aid0065,aid0065,2018-01-01,,436.0,,,28.0,,1.0,,,,,,
LC_Type1_2018001_aid0066,aid0066,2018-01-01,,17.0,,,29.0,,8.0,10.0,,,,,5.0
LC_Type1_2018001_aid0067,aid0067,2018-01-01,,60.0,,,54.0,,6.0,,,,,,
LC_Type1_2018001_aid0068,aid0068,2018-01-01,,17.0,,,4.0,,8.0,2.0,,,,,1.0
LC_Type1_2018001_aid0069,aid0069,2018-01-01,,18.0,,,25.0,,21.0,6.0,,,,,3.0
LC_Type1_2018001_aid0070,aid0070,2018-01-01,,105.0,,,11.0,,,5.0,,,,,4.0
LC_Type1_2018001_aid0071,aid0071,2018-01-01,,414.0,,,39.0,,9.0,,,,,,
LC_Type1_2018001_aid0072,aid0072,2018-01-01,,77.0,,,69.0,,1.0,10.0,,,,,4.0
LC_Type1_2018001_aid0073,aid0073,2018-01-01,,42.0,,,12.0,,,10.0,,,,,7.0
LC_Type1_2018001_aid0074,aid0074,2018-01-01,,240.0,,,23.0,,,,,,,,
LC_Type1_2018001_aid0075,aid0075,2018-01-01,,477.0,,,41.0,,,,,,,,
LC_Type1_2018001_aid0076,aid0076,2018-01-01,,6.0,,,,,7.0,10.0,,,,,
LC_Type1_2018001_aid0077,aid0077,2018-01-01,,1.0,,,18.0,,10.0,,,,,,
LC_Type1_2018001_aid0078,aid0078,2018-01-01,,47.0,,,79.0,,12.0,,,,,,
LC_Type1_2018001_aid0079,aid0079,2018-01-01,,,,,,,,18.0,,,,,8.0
LC_Type1_2018001_aid0080,aid0080,2018-01-01,,10.0,,,,,15.0,14.0,2.0,,,,2.0
LC_Type1_2018001_aid0081,aid0081,2018-01-01,,26.0,,,11.0,,5.0,5.0,,,,,3.0
LC_Type1_2018001_aid0082,aid0082,2018-01-01,,21.0,,,14.0,,9.0,,,,,,
LC_Type1_2018001_aid0083,aid0083,2018-01-01,,,,,,,1.0,,32.0,,,,
LC_Type1_2018001_aid0084,aid0084,2018-01-01,,,,,,,3.0,,51.0,4.0,,,
LC_Type1_2018001_aid0085,aid0085,2018-01-01,,,,,7.0,,17.0,,6.0,,,,
LC_Type1_2018001_aid0086,aid0086,2018-01-01,,,,,,,15.0,,14.0,,,,
LC_Type1_2018001_aid0087,aid0087,2018-01-01,,102.0,,,94.0,,28.0,,40.0,,4.0,,
LC_Type1_2018001_aid0088,aid0088,2018-01-01,,,,,,,10.0,,17.0,,,,
LC_Type1_2018001_aid0089,aid0089,2018-01-01,,,,,,,,,53.0,,,,
LC_Type1_2018001_aid0090,aid0090,2018-01-01,,,,,1.0,,18.0,,14.0,,,,
LC_Type1_2018001_aid0091,aid0091,2018-01-01,,9.0,,,67.0,,24.0,,1.0,3.0,1.0,,
LC_Type1_2018001_aid0092,aid0092,2018-01-01,,,,,18.0,,28.0,,10.0,1.0,6.0,,
LC_Type1_2018001_aid0093,aid0093,2018-01-01,,311.0,,,147.0,,28.0,,,,,,
LC_Type1_2018001_aid0094,aid0094,2018-01-01,,,,,,,,,5.0,7.0,2.0,,
LC_Type1_2018001_aid0095,aid0095,2018-01-01,,3.0,,,54.0,,35.0,,7.0,,1.0,,
LC_Type1_2018001_aid0096,aid0096,2018-01-01,,29.0,,,21.0,,17.0,,6.0,,1.0,,
LC_Type1_2018001_aid0097,aid0097,2018-01-01,,2.0,,,12.0,,25.0,,68.0,,2.0,,
LC_Type1_2018001_aid0098,aid0098,2018-01-01,,5.0,,,58.0,,26.0,,17.0,,2.0,,
LC_Type1_2018001_aid0099,aid0099,2018-01-01,,,,,222.0,,2.0,,,,,,
LC_Type1_2018001_aid0100,aid0100,2018-01-01,,,,,40.0,,,,,,17.0,,
LC_Type1_2018001_aid0101,aid0101,2018-01-01,,6.0,,,150.0,,3.0,,,,,,
LC_Type1_2018001_aid0102,aid0102,2018-01-01,,36.0,,,67.0,,1.0,,,,,,
LC_Type1_2018001_aid0103,aid0103,2018-01-01,,,,,122.0,,,,,,,,
