File,aid,Date,(1) Evergreen Needleleaf Forests,(2) Evergreen Broadleaf Forests,(4) Deciduous Broadleaf Forests,(5) Mixed Forests,(6) Closed Shrublands,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2018001_aid0001,aid0001,2018-01-01,,55.0,,,,6.0,,4.0,,,,,,
LC_Type1_2018001_aid0002,aid0002,2018-01-01,,21.0,,,,4.0,2.0,15.0,,,,,,
LC_Type1_2018001_aid0003,aid0003,2018-01-01,,1.0,,,,5.0,2.0,3.0,3.0,,,,,2.0
LC_Type1_2018001_aid0004,aid0004,2018-01-01,,42.0,,1.0,,13.0,2.0,6.0,1.0,,,,,2.0
LC_Type1_2018001_aid0005,aid0005,2018-01-01,1.0,32.0,,,,24.0,2.0,3.0,,,,,,2.0
LC_Type1_2018001_aid0006,aid0006,2018-01-01,,34.0,,1.0,,16.0,,5.0,,,,,,
LC_Type1_2018001_aid0007,aid0007,2018-01-01,,1.0,,,,4.0,4.0,7.0,4.0,,,,,5.0
LC_Type1_2018001_aid0008,aid0008,2018-01-01,,1.0,,,,6.0,3.0,2.0,,,,,,3.0
LC_Type1_2018001_aid0009,aid0009,2018-01-01,,12.0,,,,4.0,3.0,13.0,,,,,,
LC_Type1_2018001_aid0010,aid0010,2018-01-01,,34.0,,,,1.0,,3.0,,,,,,
LC_Type1_2018001_aid0011,aid0011,2018-01-01,,28.0,,,,20.0,2.0,,1.0,,,,,1.0
LC_Type1_2018001_aid0012,aid0012,2018-01-01,1.0,38.0,,,,24.0,,2.0,3.0,,,,,2.0
LC_Type1_2018001_aid0013,aid0013,2018-01-01,,,,,,9.0,,15.0,,,,,,
LC_Type1_2018001_aid0014,aid0014,2018-01-01,,4.0,,,,19.0,7.0,8.0,1.0,,,,,3.0
LC_Type1_2018001_aid0015,aid0015,2018-01-01,,,,,,14.0,1.0,2.0,5.0,,,,,1.0
LC_Type1_2018001_aid0016,aid0016,2018-01-01,,9.0,,,,35.0,1.0,7.0,3.0,,,,,1.0
LC_Type1_2018001_aid0017,aid0017,2018-01-01,,41.0,,,,24.0,3.0,16.0,,,,,,
LC_Type1_2018001_aid0018,aid0018,2018-01-01,,70.0,,,,9.0,1.0,1.0,,,,,,
LC_Type1_2018001_aid0019,aid0019,2018-01-01,,32.0,,,,13.0,1.0,3.0,5.0,,,,,2.0
LC_Type1_2018001_aid0020,aid0020,2018-01-01,,41.0,,,,26.0,,15.0,,,,,,
LC_Type1_2018001_aid0021,aid0021,2018-01-01,,,,,,12.0,,3.0,4.0,,,,,1.0
LC_Type1_2018001_aid0022,aid0022,2018-01-01,,,,,,14.0,5.0,6.0,6.0,1.0,,1.0,,2.0
LC_Type1_2018001_aid0023,aid0023,2018-01-01,,4.0,,,,10.0,2.0,6.0,,,,,,
LC_Type1_2018001_aid0024,aid0024,2018-01-01,,1.0,,,,6.0,2.0,4.0,7.0,,,,,3.0
LC_Type1_2018001_aid0025,aid0025,2018-01-01,,39.0,,,,43.0,2.0,11.0,7.0,,,,,3.0
LC_Type1_2018001_aid0026,aid0026,2018-01-01,,2.0,,,,13.0,,,2.0,,,,,
LC_Type1_2018001_aid0027,aid0027,2018-01-01,,,,,,10.0,1.0,,1.0,,,,,
LC_Type1_2018001_aid0028,aid0028,2018-01-01,,31.0,,,,15.0,,,,,,,,
LC_Type1_2018001_aid0029,aid0029,2018-01-01,,31.0,,,,28.0,,,,,,,,
LC_Type1_2018001_aid0030,aid0030,2018-01-01,,2.0,,,,5.0,1.0,2.0,,,3.0,,,
LC_Type1_2018001_aid0031,aid0031,2018-01-01,,2.0,,,,1.0,,,2.0,,,,,2.0
LC_Type1_2018001_aid0032,aid0032,2018-01-01,,2.0,,,,7.0,2.0,1.0,2.0,,,,,2.0
LC_Type1_2018001_aid0033,aid0033,2018-01-01,,7.0,,,,5.0,2.0,,1.0,,,,,
LC_Type1_2018001_aid0034,aid0034,2018-01-01,,1.0,,,,3.0,,2.0,1.0,,1.0,,,
LC_Type1_2018001_aid0035,aid0035,2018-01-01,,14.0,,,,26.0,,,5.0,,,,,2.0
LC_Type1_2018001_aid0036,aid0036,2018-01-01,,18.0,,,,1.0,,,1.0,,,,,
LC_Type1_2018001_aid0037,aid0037,2018-01-01,,14.0,,,,10.0,,,1.0,,,,,1.0
LC_Type1_2018001_aid0038,aid0038,2018-01-01,,2.0,,,,,1.0,,2.0,,,,,
LC_Type1_2018001_aid0039,aid0039,2018-01-01,,70.0,,,,,,,1.0,,,,,
LC_Type1_2018001_aid0040,aid0040,2018-01-01,,66.0,,,,3.0,,,5.0,,,,,3.0
LC_Type1_2018001_aid0041,aid0041,2018-01-01,,,,,,,2.0,8.0,5.0,,,,,3.0
LC_Type1_2018001_aid0042,aid0042,2018-01-01,,,,,,1.0,1.0,7.0,,,,,,
LC_Type1_2018001_aid0043,aid0043,2018-01-01,,3.0,,,,6.0,1.0,8.0,,,,,,
LC_Type1_2018001_aid0044,aid0044,2018-01-01,,16.0,,,,11.0,,,,,,,,
LC_Type1_2018001_aid0045,aid0045,2018-01-01,,56.0,,,,5.0,,,1.0,,,,,1.0
LC_Type1_2018001_aid0046,aid0046,2018-01-01,,31.0,,,,9.0,13.0,11.0,1.0,,2.0,,,2.0
